ticket_id,title,description,category,module,priority,status,resolution,created_at,tags
TKT-011,MRP not generating purchase requisitions,Material Requirements Planning run completed but no purchase requisitions generated for items below reorder point.,Manufacturing,MRP/Planning,High,Resolved,"MRP planning horizon was set to 0 days. Fix: 1. Manufacturing > MRP Setup > Planning Parameters. 2. Set Planning Horizon to 90 days. 3. Set Demand Time Fence to 30 days. 4. Verify items have correct lead times set in Item Master. 5. Re-run MRP: Manufacturing > MRP > Run Full MRP.",2024-01-29,mrp;planning;purchase requisition;manufacturing
TKT-012,Employee expense report not routing for approval,Expense reports submitted by employees are not routing to manager for approval. Reports stay in 'Submitted' status indefinitely.,HR,Expense Management,Medium,Resolved,"Approval hierarchy not configured for new department. Fix: 1. HR > Organization > Departments > Find department. 2. Add approval chain: set direct manager and secondary approver. 3. HR > Workflow > Expense Approval > Rebuild Routing. 4. Resubmit affected expense reports.",2024-02-01,expense;approval;hr;workflow
TKT-013,Tax code not calculating on purchase invoices,VAT/tax not being calculated on vendor invoices from EU suppliers. Tax field shows zero on all invoices.,Finance,Accounts Payable,High,Resolved,"Tax codes not mapped to vendor country codes. Fix: 1. Finance > Tax Setup > Tax Code Mapping. 2. Add mapping for EU country codes (DE FR IT ES etc) to appropriate VAT tax codes. 3. Verify vendor profiles have correct country codes. 4. Test with a new invoice. Existing invoices may need manual tax adjustment.",2024-02-03,tax;vat;ap;vendor invoice
TKT-014,Warehouse scanning device not updating inventory,Barcode scanners in warehouse 2 not updating inventory after scanning. Scans appear successful on device but transactions not appearing in ERP.,Inventory,Warehouse Management,High,Resolved,"Middleware service for warehouse 2 devices had crashed. Fix: 1. Server team restarted WMS Integration Service on middleware server. 2. Verified connection string for warehouse 2 device group. 3. Tested 5 scan transactions – all posting correctly. 4. Added service monitoring alert to prevent recurrence.",2024-02-05,warehouse;barcode;scanning;inventory;integration
TKT-015,Customer statement showing incorrect outstanding balance,Customer ABC Corp statement shows $15000 outstanding but their account shows all invoices paid. Balance should be $0.,Finance,Accounts Receivable,Medium,Resolved,"Old credit memo not applied to account. Fix: 1. AR > Customer Accounts > ABC Corp > Find unapplied credit memo CM-2023-441. 2. Apply credit memo: AR > Apply Transactions > Select invoice and credit memo > Apply. 3. Rerun customer statement. Balance now shows $0.",2024-02-07,ar;customer statement;credit memo;balance
TKT-016,Fixed asset depreciation not running for Q4,Quarterly depreciation run failed silently. No depreciation journal entries posted for 47 fixed assets in Q4 2023.,Finance,Fixed Assets,Critical,Resolved,"Depreciation calculation service encountered null value in asset life field for 3 assets causing entire batch to fail. Fix: 1. Fixed Assets > Asset List > Filter by null depreciation life. 2. Update 3 affected assets with correct useful life values. 3. Re-run depreciation: Fixed Assets > Depreciation > Run Batch > Select Q4 2023.",2024-02-10,fixed assets;depreciation;finance;q4
TKT-017,Cannot post backdated journal entries,Finance team unable to post journal entries for prior period (December). System showing 'Period Closed – Posting Not Allowed'.,Finance,General Ledger,Medium,Resolved,"Prior period was fully closed. Fix: 1. GL > Period Management > Find December period. 2. Change status from 'Closed' to 'Adjustment Period' (requires Finance Controller role). 3. Post the backdated journals. 4. Return period to 'Closed' status. Note: Always get CFO approval before reopening closed periods.",2024-02-12,gl;journal entry;period;backdated
TKT-018,Duplicate payment issued to vendor,ERP processed same vendor invoice twice. Vendor KPMG paid $45000 twice for invoice INV-2024-0234. Duplicate check did not catch it.,Finance,Accounts Payable,Critical,Resolved,"Invoice number had leading space causing duplicate check to miss it. Fix: 1. Immediately void duplicate payment via AP > Payments > Find payment > Void. 2. Contact vendor to return funds or apply as credit. 3. Admin > System Config > AP Settings > Enable 'Trim invoice number whitespace'. 4. Review last 30 days for similar duplicates.",2024-02-14,ap;duplicate payment;vendor;critical
TKT-019,Sales commission not calculated for Q4,Sales representatives not seeing Q4 commission calculations in their dashboard. Commission reports are blank for Oct-Dec 2023.,Sales,Commission Management,Medium,Resolved,"Commission plan period end date was set to September 30 instead of December 31. Fix: 1. Sales > Commission > Commission Plans > Q4 2023 plan. 2. Update period end date to 2023-12-31. 3. Save and run commission recalculation: Sales > Commission > Recalculate > Select Q4 2023. 4. Verify results with Sales Manager.",2024-02-15,sales;commission;q4;calculation
TKT-020,Multi-currency revaluation posting errors,Foreign currency revaluation job failing for EUR and GBP denominated accounts. Error: Exchange rate not found for 2024-01-31.,Finance,General Ledger,High,Resolved,"Exchange rates not loaded for January 2024. Fix: 1. Finance > Currency > Exchange Rates > Import Rates. 2. Import January 2024 rates from finance team's exchange rate file. 3. Re-run revaluation: Finance > Period Close > Currency Revaluation > Select Jan 2024. 4. Automate rate import: Finance > Currency > Auto-Import Setup.",2024-02-18,currency;revaluation;exchange rate;gl
TKT-021,Report server out of disk space,Scheduled reports failing since yesterday. Error: 'Insufficient disk space on report server'. All scheduled reports affected.,System,Reporting,High,Resolved,"Report output archive was never purged. Disk was 98% full. Fix: 1. Admin > Reporting > Archive Management > Delete reports older than 90 days. 2. Freed 120GB. 3. Configured auto-purge: Admin > Reporting > Auto-Archive > Enable > Set retention to 60 days. Reports are now running normally.",2024-02-20,reports;disk space;server;archiving
TKT-022,Item cost not updating after standard cost rollup,Standard cost rollup completed but 234 finished goods items still showing old standard cost. BOM changes not reflected.,Manufacturing,Cost Accounting,High,Resolved,"Cost rollup run with 'Simulate Only' flag accidentally checked. Fix: 1. Manufacturing > Costing > Standard Cost Rollup > Uncheck 'Simulate Only'. 2. Re-run cost rollup for affected item group. 3. Verify updated costs: Manufacturing > Item Costs > Review. 4. Post cost adjustment journals to update inventory value.",2024-02-22,costing;standard cost;bom;manufacturing
TKT-023,Customer portal login broken after system update,After applying patch 4.2.1 customers cannot login to self-service portal. Error: 500 Internal Server Error.,System,Customer Portal,Critical,Resolved,"Patch introduced breaking change in authentication middleware. Fix: 1. Vendor provided hotfix patch 4.2.1a. 2. Applied hotfix to portal server. 3. Cleared portal session cache. 4. Tested login with 5 test accounts – all working. 5. Notified customers via email that issue is resolved.",2024-02-25,portal;login;patch;authentication;customer
TKT-024,Budget vs actual report showing wrong figures,Q1 budget vs actual report showing actuals 40% higher than expected. Variance appears incorrect for all cost centers.,Finance,Budgeting,Medium,Resolved,"Budget period mapping was incorrect. Q1 actuals were being compared to full-year budget instead of Q1 budget. Fix: 1. Finance > Budgeting > Report Parameters > Budget vs Actual > Set period mapping to 'Match Reporting Period'. 2. Regenerate report. Actuals now correctly compared to Q1 budget only.",2024-03-01,budget;reporting;actuals;finance
TKT-025,Automated PO not generated for low stock items,System should auto-generate POs when inventory drops below reorder point but no POs generated for 15 items that are below minimum.,Procurement,Inventory,Medium,Resolved,"Auto-PO feature was disabled during last system upgrade and not re-enabled. Fix: 1. Procurement > Settings > Auto Replenishment > Enable. 2. Set minimum order frequency to daily. 3. Verify reorder points are set on all items: Inventory > Item Master > Check Reorder Point field. 4. Run replenishment manually to catch up: Procurement > Auto Replenishment > Run Now.",2024-03-05,procurement;auto po;reorder;replenishment
